Comments,W [lb],Xcg [mm],Ycg [mm],Zcg [mm],Ixx [lb*mm2],Iyy [lb*mm2],Izz [lb*mm2],Ixy [lb*mm2],Ixz [lb*mm2],Iyz [lb*mm2]
Feed6,176.6652768,3.07979E-10,11095.41249,-258.1694704,11389534.59,25831267.2,36854262.89,1.611E-05,-3.49494E-06,-125716.7154
Feed5,176.6726133,-1.2185E-12,11151.63876,-174.6459912,10694304.01,48078734.03,58578459.09,-9.81798E-08,-3.81274E-09,-367813.6292
Feed4,176.6717012,-1.33431E-13,11151.60715,-98.85391769,10687448.22,48212884.23,58705100.12,-3.73707E-08,9.85467E-10,-370370.1575
Feed3,176.6693787,-1.52051E-13,11151.10069,-22.95732807,10664280.44,48203339.71,58672028.93,-6.00168E-09,-6.08854E-11,-369556.2735
Feed2,176.6576881,1.27039E-14,11150.59359,53.03095427,10640541.74,48191198.13,58635816.15,4.03217E-08,-8.60098E-10,-368722.83
Feed1,176.6633418,-1.81527E-08,11174.4139,130.9958163,9713053.998,59343301.28,68789146.7,0.005185336,0.008480743,-217074.5831
WG30,289.2342701,0,10419.52254,-142.5645713,89819216.08,465509944.5,554787253.9,0,0,-1363437.523
WG29,289.3111465,0,10453.683,-86.59358186,108976864.3,626121081,734743256,0,0,-1713926.414
WG28,289.3454542,0,10479.29011,-48.75189385,109564538.6,748309588.5,857553108,0,0,-1721023.729
WG27,289.3421389,0,10513.39308,-18.00850337,109535086.7,861943543.9,971173311.4,0,0,-1721032.292
WG26,289.2864802,0,10549.78679,8.476308024,109935099.2,972726448.1,1082364116,0,0,-1728533.976
WG25,289.3701789,0,10586.44931,32.00574125,110810985.9,1084508508,1195025657,0,0,-1743478.35
WG24,289.2832432,0,10623.05747,53.28947698,111986278.8,1197742693,1309436396,0,0,-1762836.742
WG23,289.3444642,0,10660.05893,72.77891847,113767489.5,1312106136,1425579682,0,0,-1791675.221
WG22,289.3114194,0,10696.31907,90.86670328,116117034.1,1424505549,1540325074,0,0,-1829639.024
WG21,289.2981324,0,10731.13524,107.8390116,118874652.4,1535258236,1653830294,0,0,-1874012.357
WG20,289.2782779,0,10764.07151,123.9098985,121852142.3,1643302059,1764845592,0,0,-1921856.594
WG19,289.3689808,0,10795.10202,139.242746,124997731.4,1749381906,1874064377,0,0,-1972115.494
WG18,289.3089372,0,10824.81263,153.9291677,128186287.7,1853526504,1981390607,0,0,-2023035.15
WG17,289.3117669,0,10853.02963,168.0650726,131492315,1955722087,2086884855,0,0,-2075748.108
WG16,289.3463756,0,10880.13727,181.7149189,134921773.4,2056789924,2191374396,0,0,-2130307.838
WG15,289.170111,0,10905.7249,194.9480251,138337930.1,2157089159,2295081875,0,0,-2185006.084
WG14,289.3208549,0,10927.91937,207.9768814,141265431.5,2283267615,2424180978,0,0,-2231141.417
WG13,289.3387891,0,10958.40166,220.6798265,142626823.8,2437071550,2579343432,0,0,-2250898.708
WG12,289.2769668,0,11001.62299,233.1266974,143308759.2,2622863954,2765816419,0,0,-2259376.964
WG11,289.3407224,0,11063.86935,245.3848066,143157705.2,2866062066,3008864292,0,0,-2252528.918
WG10,289.2346259,0,11175.26001,256.9576922,138804140.5,3260215260,3398677683,0,0,-2165628.863
WG9,289.2342206,0,11451.04164,265.7974288,105184003.2,4193628097,4298559469,0,0,-1582313.599
WG8,289.3280778,0,11714.68156,280.6708293,64200425.26,5250197131,5314221496,0,0,-970041.1591
WG7,289.2478421,0,11862.66338,303.2863196,58168469.92,6026781807,6084782175,0,0,-873673.5873
WG6,289.3057383,0,12014.71301,328.4040565,52864879.08,6891258487,6943962727,0,0,-780619.3678
WG5,289.270315,0,12182.33893,356.152636,47359102.34,7911942472,7959146732,0,0,-680340.8987
WG4,289.0048088,0,12370.63584,387.3264939,41581753.09,9139489930,9180919618,0,0,-569165.8391
WG3,290.3552286,0,12588.12307,423.3362951,35785767.41,10730867627,10766495537,0,0,-442902.5687
WG2,290.2529182,0,12849.59909,466.6576325,29561035.01,12753811412,12783193242,0,0,-280602.8333
WG1,288.5775139,0,13165.26106,528.8742411,20756265.56,15251026078,15271320238,0,0,93321.39979
CTS10,213.9937104,-0.000681785,10064.1526,-241.059092,31992644.63,31970596.09,63621877.57,97.40261384,-11.57245794,-1158863.682
CTS9,213.9977248,2.5375E-05,10048.72606,-183.1956288,38981154.87,69314111.82,108120801.3,-17.689108,0.960996341,-1392046.84
CTS8,213.9999529,-5.90489E-09,10034.26974,-137.6320382,40056978.52,71990515.55,111878466.8,0.000719548,-2.28485E-06,-1396104.232
CTS7,213.9973133,-2.86266E-13,10033.97568,-92.85588904,40087080.45,71987737.3,111905776.7,-1.42486E-07,4.17361E-11,-1397154.796
CTS6,213.9959329,-7.99434E-14,10033.68179,-48.09796665,40117413.96,71985378.83,111933736,-4.52463E-09,-1.77749E-09,-1398213.598
CTS5,213.9942419,2.7215E-14,10033.38801,-3.358148775,40147688.5,71982918.1,111961534.4,-6.2123E-08,-8.19358E-10,-1399270.346
CTS4,213.9925273,-1.63291E-13,10033.09435,41.36355124,40177957.93,71980451.81,111989322,1.23553E-07,-7.99773E-10,-1400326.915
CTS3,214.0089223,6.08043E-14,10032.80081,86.06904357,40211636.73,71984085.16,112026592.3,9.5888E-08,-1.29934E-09,-1401502.14
CTS2,214.0000502,2.04522E-05,10039.33005,130.5447502,39702119.14,72483907.34,112021838.7,-1.2789896,0.125383171,-1354525.306
CTS1,214.019624,-0.000417495,10150.05091,198.2583613,41790356.53,133529092.9,174505444.5,44.15511304,1.36280293,-1731556.549
AFT10,112.9917907,-0.00501339,13413.91788,-117.4174307,1616100.995,24720953.88,26109759.03,-104.5704905,-47.12142,150817.5936
AFT9,112.9621879,-0.005349123,13538.25412,-44.22152301,3489096.121,26812354.08,30237246.99,-198.4391311,16.78582549,-70797.98842
AFT8,112.8872945,0.000590234,13618.2999,3.414077577,5605985.809,27019167.32,32578202.25,40.73620177,6.236208902,-165416.1722
AFT7,113.1543285,-0.003316955,13682.74079,42.19416177,7758951.448,27033148.96,34748899.7,86.37152361,82.162284,-248848.0635
AFT6,112.8540775,-0.000300552,13740.38113,75.88003935,9849598.867,26419471.43,36226137.68,83.53509835,10.8991286,-325355.4668
AFT5,113.7568842,-0.003249477,13792.47199,106.5499859,11929122.79,25566351,37449519.8,44.19321893,60.96035637,-403281.1097
AFT4,112.4485025,-0.002124119,13817.55349,136.5349863,12577892.09,24557042.46,37087488.45,-66.70159113,16.26388491,-434038.0098
AFT3,113.309299,0.00176196,13842.1838,166.6007002,12574766.74,24229748.98,36756998.12,68.47378776,-10.92750259,-422988.201
AFT2,113.0777195,-0.000194477,13918.77586,198.4226999,10941313.48,24960868.85,35853199.67,-6.388940923,0.972433625,-343855.0301
AFT1,112.5579157,3.85244E-09,14111.09989,243.5703441,6984671.897,25163057.7,32040749.39,-0.000167323,-2.17609E-05,14102.54365
FWD10,160.9857756,-0.005211344,8365.266445,-202.4397116,37514923.76,21949123.76,59201861.88,1746.470818,-178.4118279,-1785115.708
FWD9,160.9876374,0.005510277,8084.927311,-146.892367,60741640.67,28586531.1,89136664.27,702.1085698,45.70365664,-2160496.011
FWD8,161.0106171,0.004960583,8036.085753,-109.89442,63917902.84,32815757.84,96545925.81,-698.5117973,37.69237456,-2241573.764
FWD7,160.9933056,0.00383884,8015.114818,-76.55065147,64871948.45,35727252.47,100413196.9,-291.6974962,63.45891379,-2268979.548
FWD6,161.0014023,0.0039029,8008.698272,-45.13835701,64563356.05,38008418.77,102390186.1,-376.0364502,-0.173340278,-2244086.19
FWD5,161.0091709,-0.005176532,8090.501722,-16.41070401,56321071.27,42745010.06,98906847.57,584.0672069,-98.41450666,-1911656.843
FWD4,160.9993091,-0.012832941,8188.398511,16.73636619,50816945.12,53440371.63,104092015.2,716.6208802,-44.89871221,-1742689.372
FWD3,160.9936867,-0.003191952,8235.346619,64.71785365,43365195.89,71060965.34,114234756,-110.6339015,37.34435758,-1455124.357
FWD2,161.0152878,0.000428418,8334.348376,134.7685453,32688904.54,89985108.96,122390839.4,-115.9533212,8.512136018,-973744.7414
FWD1,161.0038076,-4.42053E-08,8558.720478,275.7625047,18929413.64,119194336.7,136305604.9,-0.002264981,0.000456516,917455.4993
